symbol,as_of,weight,debt_ratio,cash_ratio,receivables_ratio,near,gap_to_limit
SLB,2022-10-31,0.007301916167970062,0.28771896413243747,0.0679775574598616,0.1830781365930774,debt,0.012281035867562518
FISV,2022-10-31,0.006900133007028244,0.29653073322154194,0.011659046110090292,0.05159302440333369,debt,0.0034692667784580467
IQV,2022-10-31,0.0039963766255879515,0.28348680813609584,0.034793918532243104,0.09488822196877131,debt,0.016513191863904153
ABBV,2022-11-30,0.02670629291413375,0.28143373958750434,0.043089788018397385,0.08682395028284812,debt,0.01856626041249565
BMY,2022-11-30,0.01680500906488436,0.2949782499658682,0.11232915828161784,0.16515683445331586,debt,0.0050217500341318
FISV,2022-11-30,0.006535213932857496,0.29750573536179437,0.011697381411079639,0.051762663849029056,debt,0.0024942646382056233
IQV,2022-11-30,0.003874666149828787,0.28124557352246327,0.034518839296383434,0.09413803973312963,debt,0.018754426477536723
BMY,2022-12-31,0.01568135403228684,0.2923552547264404,0.11133030888354965,0.16368823264765686,debt,0.007644745273559572
FISV,2022-12-31,0.006589756793652872,0.29905798151651947,0.01175841289100597,0.05203273728415216,debt,0.0009420184834805223
BMY,2023-01-31,0.015448888965438883,0.29087749229453613,0.11076756973198437,0.16286084091502712,debt,0.009122507705463856
FISV,2023-01-31,0.0067863925065059835,0.29976983796326206,0.011786401784589342,0.052156592328212716,debt,0.00023016203673792424
AMGN,2023-02-28,0.009596364725082662,0.2916303681438143,0.09340541105296873,0.13683689731907248,debt,0.008369631856185666
GILD,2023-02-28,0.0077900200550840475,0.2937951432009248,0.07435124809107828,0.12997785923141986,debt,0.006204856799075176
CCI,2023-02-28,0.004391814858069539,0.29048469948799893,0.002085490041885399,0.010013025906231819,debt,0.009515300512001057
RSG,2023-02-28,0.0031712993408099417,0.29536708460487615,0.0035938772162690796,0.04562770474155848,debt,0.004632915395123838
EBAY,2023-02-28,0.0019191808209374547,0.2923651636912566,0.15750345138998031,0.16046961808282362,debt,0.007634836308743398
EXPE,2023-02-28,0.0012490201659591004,0.2930281894071632,0.1946007719396289,0.2921829157838733,debt,0.006971810592836802
EXE,2023-02-28,0.0009149900123652462,0.28426861004800663,0.01194792088788906,0.14411030732469265,debt,0.015731389951993358
AMGN,2023-03-31,0.009282905381862494,0.2918609533532201,0.09347926449424226,0.13694509100556537,debt,0.00813904664677989
GILD,2023-03-31,0.007439842367942932,0.29074466963116813,0.07357925943698011,0.1286282997393222,debt,0.00925533036883186
CCI,2023-03-31,0.0041672542336174566,0.29291930979785236,0.002102968950640387,0.010096947077113139,debt,0.0070806902021476326
RSG,2023-03-31,0.003083088342171369,0.2917332931348576,0.003549663080525949,0.04506636404745846,debt,0.008266706865142415
FIS,2023-03-31,0.002359678537056454,0.2873297460938182,0.034918767188029,0.09395191153378735,debt,0.012670253906181816
EBAY,2023-03-31,0.00171970663748073,0.29582093578476965,0.15936515072882587,0.16236637767287154,debt,0.004179064215230344
EXPE,2023-03-31,0.0010309326040415625,0.2999987014571227,0.19922990686511483,0.2991333205875349,debt,1.2985428772815943e-06
AMGN,2023-04-30,0.009053147600886878,0.29210059144583195,0.09355601745617427,0.13705753242681096,debt,0.007899408554168041
GILD,2023-04-30,0.007249514618851526,0.2879273552218325,0.07286627677730481,0.1273818921516486,debt,0.012072644778167496
CCI,2023-04-30,0.0037690204012076614,0.29619797114062646,0.00212650759344368,0.01020996274031613,debt,0.0038020288593735296
RSG,2023-04-30,0.0032427616269265734,0.2888425337862865,0.0035144897836284824,0.04461980543984669,debt,0.011157466213713496
FIS,2023-04-30,0.002508076781219643,0.29757029432927945,0.036163286158212814,0.09730039561855522,debt,0.002429705670720539
EBAY,2023-04-30,0.0017697229577812025,0.2996119667025657,0.16140746126384414,0.16444714979988642,debt,0.00038803329743430925
AMGN,2023-05-31,0.008492823177898328,0.2931184261387217,0.09388201666016133,0.1375351141760822,debt,0.006881573861278301
GILD,2023-05-31,0.006915531351309844,0.2858745840437258,0.07234677840345577,0.12647372600460036,debt,0.014125415956274201
RSG,2023-05-31,0.0032369129859095135,0.2853728228093799,0.0034722720962933333,0.0440838115656321,debt,0.014627177190620066
