symbol,ex_date,weight,price,dividend,impure_ratio,purification_amount,nav_frac,covered
ACN,2020-07-15,0.018725892365487964,199.63868713378906,0.8,0.002024944433083938,0.0016199555464671504,1.519500735831319e-07,True
IEX,2020-07-15,0.0016206417269524257,156.04443359375,0.5,,,,False
ZTS,2020-07-16,0.008740643683752134,134.3816375732422,0.2,,,,False
CL,2020-07-17,0.008398492461053253,65.29396057128906,0.44,0.0029949659083667876,0.0013177849996813865,1.695012415892524e-07,True
PG,2020-07-23,0.04013048475820412,108.29935455322266,0.791,0.0032503989125938185,0.0025710655398617104,9.527121088155549e-07,True
AOS,2020-07-30,0.0010536322664497328,43.330780029296875,0.24,,,,False
PFE,2020-07-30,0.023615264095369515,27.10769271850586,0.360531,0.004367149758454107,0.0015744928695652174,1.3716425561248661e-06,True
TXN,2020-07-30,0.01621279434957571,109.18498229980469,0.9,,,,False
PAYX,2020-07-31,0.0033030813475987486,59.94560241699219,0.62,0.021979967624443545,0.013627579927154998,7.508975346878389e-07,True
INTC,2020-08-06,0.026209931739521974,43.59144973754883,0.33,0.006711595914680748,0.002214826651844647,1.3316936167350878e-06,True
NSC,2020-08-06,0.0063453100696485324,173.47335815429688,0.94,,,,False
ROL,2020-08-07,0.0014641204217942074,33.850135803222656,0.053333,,,,False
SWKS,2020-08-10,0.0031697367975708074,123.1290512084961,0.5,,,,False
CHD,2020-08-13,0.0031085050819643512,88.218505859375,0.24,,,,False
EMR,2020-08-13,0.004849758326308424,62.142826080322266,0.5,0.0014696276943174395,0.0007348138471587198,5.734643559561535e-08,True
ETN,2020-08-13,0.004926882022488476,91.80037689208984,0.73,,,,False
HON,2020-08-13,0.01343925302540866,139.36410522460938,0.889624,0.006946525375248576,0.006179795690430139,5.959342098538805e-07,True
IVZ,2020-08-13,0.0005825545487674483,8.40583324432373,0.155,0.004658841991695819,0.0007221205087128519,5.0045554662056576e-08,True
MSCI,2020-08-13,0.004080861069504164,337.4420471191406,0.78,0.010529620052946598,0.008213103641298347,9.93253069548373e-08,True
AMGN,2020-08-14,0.018521630094040724,199.3310546875,1.6,,,,False
ROK,2020-08-14,0.0032306196777083314,209.98141479492188,1.02,0.0016580032263846568,0.00169116329091235,2.6018995115236005e-08,True
TECH,2020-08-17,0.00033401931460676725,63.97875213623047,0.08,,,,False
