date,symbol,delta_w,adv
2020-07-31,GILD,-0.001797504384097046,535431190.34080505
2020-07-31,GPN,1.084685343183834e-05,280680807.49282837
2020-07-31,GRMN,-8.728879414448415e-05,78137583.436203
2020-07-31,HON,-0.00019252994140459,450598702.6047592
2020-07-31,HSY,0.0002562554560375562,149451772.53341675
2020-07-31,ICE,5.6458459142873577e-05,232477296.03729248
2020-07-31,IEX,-7.667942779758172e-06,55762905.98449707
2020-07-31,ILMN,-0.00010825553857361954,304265324.7875061
2020-07-31,INCY,-0.0002818547885797833,112530809.0133667
2020-07-31,INTC,-0.008216824944955268,1205213160.618019
2020-07-31,INTU,-0.00013305491099893305,329747122.8027344
2020-07-31,ISRG,0.00043722541838028903,379213612.449646
2020-07-31,ITW,7.253462768078232e-05,171304869.75708008
2020-07-31,IVZ,-7.165638990014008e-05,58501344.94614601
2020-07-31,JKHY,-0.00014392861977492646,71131611.77825928
2020-07-31,JNJ,-0.0005498737737249515,883415557.6156616
2020-07-31,KEYS,-0.00013967807649333192,103412106.08520508
2020-07-31,KO,0.00023285453549506605,731149691.7726517
2020-07-31,LITE,7.361686657308064e-05,88262881.08100891
2020-07-31,LUV,-0.00033984669767987,395243133.9187622
2020-07-31,MCD,9.610170275321794e-05,564778942.1737671
2020-07-31,MCO,-0.00016133135070047887,168909871.86279297
2020-07-31,MDT,6.71850533588425e-05,393590704.39338684
2020-07-31,META,0.005791767073604029,4949204331.442261
2020-07-31,MMM,-0.000799374607012909,405693124.9202728
2020-07-31,MNST,0.00010034192279522141,157260634.00802612
2020-07-31,MPWR,9.305393423258198e-05,72228165.54794312
2020-07-31,MRK,-0.00024922696506683717,611216537.379364
2020-07-31,MSCI,0.00028419806782262365,165455660.32714844
2020-07-31,MSI,-0.00015356519024007677,166939135.39123535
2020-07-31,MTD,0.00028070016150551257,92374278.99780273
2020-07-31,MU,-0.0005557582119725749,862758143.8205719
2020-07-31,NDSN,-3.803864033568075e-05,45210616.45126343
2020-07-31,NEM,0.00046595480401451835,471222315.6036377
2020-07-31,NOW,7.156308998909795e-05,635720092.6837921
2020-07-31,NSC,0.00027193899349230947,265595550.995636
2020-07-31,NTAP,-6.148866753328402e-05,96874378.26919556
2020-07-31,NXPI,-7.201540498083091e-05,288556052.6699066
2020-07-31,ORCL,-0.0009677701199557152,707072594.4858551
2020-07-31,PAYX,-0.00034748004229312544,142659412.32795715
2020-07-31,PFE,0.002904976927695299,1011966050.7915192
2020-07-31,PG,0.0018665345379455037,807334107.5317383
2020-07-31,PTC,5.952175807030259e-05,55864149.769592285
2020-07-31,QCOM,0.001470728939871352,622685077.3635864
2020-07-31,REGN,-0.0003143130329591303,446643982.66296387
2020-07-31,RMD,2.429375270646735e-05,103150285.79864502
2020-07-31,ROK,-7.484685369842179e-05,148788244.67391968
2020-07-31,ROL,0.0002230067690765223,46068516.93878174
2020-07-31,SNPS,-9.837637600802925e-05,139876598.0331421
2020-07-31,SPGI,0.0001477875768295285,309794032.02456665
2020-07-31,SWKS,0.0002525864184451643,232639886.8057251
2020-07-31,TECH,-1.8791245461229132e-06,41164464.43786621
2020-07-31,TER,8.636983057475284e-06,184831740.27290344
2020-07-31,TMO,0.0017677599857593845,490639446.2509155
2020-07-31,TRMB,-2.389509651135979e-05,35289442.64335632
2020-07-31,TROW,0.00026162201429172274,134666508.4060669
2020-07-31,TTWO,0.0002581861219594951,177900849.97940063
2020-07-31,TXN,-0.0006698035755959217,592473449.2797852
2020-07-31,TYL,-3.198779708371764e-05,93523846.73919678
2020-07-31,UNP,-0.00033765641794844536,490656547.8317261
2020-07-31,VEEV,0.0003835846303801866,174002794.32907104
2020-07-31,VRSK,0.0002164627680297888,130446437.17727661
2020-07-31,VRSN,-7.542525267102262e-05,126490908.24356079
2020-07-31,VRTX,-0.0010676090225622062,385770936.69433594
2020-07-31,ZBH,0.00025141850390281726,161575022.42442322
